Plate,Date Collected,In_treatment,Out_treatment,Pond,Clone,Replicate,Well,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Hatch3,Hatch3HD,Hatch4,Hatch4H,Temp,Dried,Light,DriedLater,Early,Late,Leftover_eggs
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,C12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R1,D12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,E12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,F12,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G11,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R2,G12,6/18,H,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H1,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H2,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H3,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H4,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H5,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H6,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H7,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H8,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H9,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H10,,,,,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H11,6/18,H,6/18,H,,,,,Cold,Dry,Dark,,,,
040524B,4/3/24,5/10/24,6/7/24,P19,50,R3,H12,,,,,,,,,Cold,Dry,Dark,,,,
040524C,4/3/24,,,P19,50,R1,A1,4/17,HE,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R1,A2,,,,,,,,,Warm,Wet,Light,y,,,
040524C,4/3/24,,,P19,50,R1,A3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,A12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B1,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,B12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C1,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,C12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D1,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D5,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D6,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D7,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D8,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D9,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D10,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D11,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R1,D12,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E1,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E2,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E3,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E4,,,,,,,,,Warm,Wet,Light,,,,
040524C,4/3/24,,,P19,50,R2,E5,,,,,,,,,Warm,Wet,Light,,,,
